"id_persona";"tipo_documento";"documento";"nombre";"apellido";"telefono";"correo"
1;"";52808769;"Javier";"López";"1787870851998";""
2;"TI";279134029;"Alberto";"Álvarez";"";"fsanchez@example.net"
3;"CC";710085258;"Lucía";"Cruz";"";""
4;"CE";186967605;"Johana";"Caballero";"8615128423281";""
5;"";104579076;"Carolina";"Salgado";"1938099865941";""
6;"";159416607;"Alejandro";"Ortiz";"";""
7;"CC";671624657;"Felipe";"González";"9372222183627";"lopezjose@example.net"
8;"TI";58841400;"Ignacio";"Sánchez";"";"csalcedo@example.org"
9;"CE";607119236;"Ronald";"Correa";"";"zanaya@example.com"
10;"TI";392446130;"Gustavo";"Torres";"4762606830224";"orozcogerardo@example.com"
11;"CE";291399543;"Elizabeth";"Torres";"5927414136534";"martha11@example.org"
12;"CC";281287843;"Fernanda";"Restrepo";"8926560258164";"sanchezsebastian@example.org"
13;"CE";479038935;"Rubiela";"Jiménez";"";""
14;"";850539894;"Aurelio";"Gómez";"";"rojasalfonso@example.net"
15;"";729443165;"Cristian";"Gutiérrez";"2438700106158";""
16;"CC";143625108;"Daniel";"Sánchez";"4778612720203";""
17;"CC";419166976;"Enrique";"López";"";""
18;"CE";467298427;"Luis";"García";"";""
19;"";500910015;"Carlos";"González";"";""
20;"CC";23211492;"Edison";"Tovar";"";""
21;"CC";987763484;"Rubén";"Loaiza";"";""
22;"CE";427885784;"Jhon";"Romero";"0144139910753";"valvarez@example.com"
23;"CE";951663607;"Nelly";"Díaz";"7251178275713";"betancurmilena@example.com"
24;"";487863819;"Elena";"Bejarano";"";""
25;"TI";448487038;"Edgar";"Flórez";"7543193518628";"darysalazar@example.org"
26;"TI";601304816;"Paola";"Meza";"4464387194649";""
27;"CC";249723233;"John";"Perdomo";"";""
28;"";458378372;"Fernando";"Santos";"";""
29;"TI";961333544;"Gloria";"Cardona";"4807255034309";""
30;"CE";957954625;"Teresa";"Moreno";"7670228367578";""
31;"";777684066;"Augusto";"Montes";"6948497759959";""
32;"";983177537;"Ana";"Rengifo";"";"hvanegas@example.net"
33;"CC";23236329;"Cristina";"Gaviria";"3575051792674";""
34;"CC";142778486;"Ferney";"Guzmán";"";"nunezeva@example.org"
35;"CC";297813908;"Esmeralda";"González";"";"erikamedina@example.net"
36;"CC";730649503;"Paola";"Ortega";"";""
37;"CE";32408946;"Andrés";"Cruz";"6289100040142";"dtriana@example.net"
38;"";31913525;"Elcy";"Torres";"5441566265563";"yeison37@example.net"
39;"CC";280150999;"Tulio";"Valencia";"";"lorena78@example.net"
40;"CC";440096982;"Hernando";"Valencia";"";"gomezdavid@example.net"
41;"CC";631214743;"Nancy";"Herrera";"0535510575320";""
42;"";227955255;"Paola";"Molina";"7303609729513";""
43;"CC";91525898;"Milena";"Perea";"7346954002375";"tanaya@example.com"
44;"CC";232151551;"Óscar";"Trujillo";"";""
45;"TI";686932695;"José";"Bautista";"6118140387475";"cesarvargas@example.com"
46;"";618087904;"Natalia";"Romero";"1575750682922";"paolasanchez@example.com"
47;"CC";533746116;"Yaneth";"López";"";"hector03@example.com"
48;"CE";756401710;"Lorenzo";"Moreno";"";""
49;"TI";544200000;"Tania";"Lara";"2817853911974";""
50;"CC";0;"Alba";"Montoya";"";"taniaolaya@example.com"
51;"CE";623232361;"Patricia";"Vargas";"";"rinconsandra@example.com"
52;"CC";857604063;"Alexander";"García";"0569636044844";"qcabrera@example.net"
